Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1330324,"Sea of Poppies (Ibis Trilogy, #1)",Amitav Ghosh,"Ghosh, Amitav",,"=""071956896X""","=""9780719568961""",0,3.97,John Murray Publisher,Paperback,513,2008,2008,,2025/05/25,to-read,to-read (#1224),to-read,,,,0,0
243398,"The Singing Sands (Inspector Alan Grant, #6)",Josephine Tey,"Tey, Josephine",Robert Barnard,"=""0684818922""","=""9780684818924""",0,4.01,Scribner Paperback Fiction,Paperback,224,1996,,,2015/04/03,to-read,to-read (#528),to-read,,,,0,0
408854,"The Dark Tower (The Dark Tower, #7)",Stephen        King,"King, Stephen",Michael Whelan,"=""1880418622""","=""9781880418628""",0,4.37,Donald M. Grant/Scribner,Hardcover,845,2004,2004,,2015/04/03,kobo,kobo (#642),read,,,,1,0
8260364,Hackers: Heroes of the Computer Revolution,Steven Levy,"Levy, Steven",,"=""1449388396""","=""9781449388393""",0,4.16,O'Reilly Media,Paperback,502,2010,1984,,2020/09/28,currently-reading,currently-reading (#17),currently-reading,,,,1,0
52032133,Facebook: The Inside Story,Steven Levy,"Levy, Steven",,"=""0735213151""","=""9780735213159""",0,4.06,Blue Rider Press,Hardcover,592,2020,2020,,2025/05/18,to-read,to-read (#1223),to-read,,,,0,0
7841446,"In the Plex: How Google Thinks, Works, and Shapes Our Lives",Steven Levy,"Levy, Steven",,"=""1416596585""","=""9781416596585""",0,3.84,Simon & Schuster,Hardcover,432,2011,2011,,2025/05/18,to-read,to-read (#1222),to-read,,,,0,0
223436601,"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,"Wynn-Williams, Sarah",,"=""1250391237""","=""9781250391230""",4,4.28,Flatiron Books,Hardcover,382,2025,2025,2025/05/18,2025/03/26,,,read,,,,1,0
84926,"Valhalla Rising (Dirk Pitt, #16)",Clive Cussler,"Cussler, Clive",,"=""0425185710""","=""9780425185711""",0,3.73,G.P. Putnam's Sons,Mass Market Paperback,517,2002,,,2015/04/03,kobo,kobo (#50),read,,,,1,0
101135587,Beirut Station: Two Lives of a Spy,Paul Vidich,"Vidich, Paul",,"=""1639365117""","=""9781639365111""",3,3.96,Pegasus Crime,Hardcover,304,2023,2023,2025/05/09,2025/01/02,,,read,,,,1,0
209455837,"Locked In (Department Q, #10)",Jussi Adler-Olsen,"Adler-Olsen, Jussi",Caroline Waight,"=""0593475690""","=""9780593475690""",0,4.17,Dutton,Kindle Edition,512,2024,2023,,2025/05/06,to-read,to-read (#1221),to-read,,,,0,0
36992458,The End (My Struggle #6),Karl Ove Knausgård,"Knausgård, Karl Ove","Don Bartlett, Martin Aitken, Karl Ove Knausgaard","=""1846558298""","=""9781846558290""",0,4.15,harvill secker uk,Hardcover,1168,2018,2011,,2022/03/26,currently-reading,currently-reading (#3),currently-reading,,,,1,0
