Title,Author,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Date Read,Date Added,Bookshelves,Exclusive Shelf,My Review,Read Count,Owned Copies
The Quants: How a New Breed of Math Whizzes Conquered Wall Street and Nearly Destroyed It,Scott Patterson,0,3.89,Crown Business,Hardcover,337.0,2010.0,,2025/02/28,currently-reading,currently-reading,,1,0
"The Thinking Machine: Jensen Huang, Nvidia, and the World's Most Coveted Microchip",Stephen Witt,4,4.41,Viking,Hardcover,272.0,2025.0,2025/04/22,2025/04/15,,read,,1,0
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,4,4.14,Ecco,Hardcover,392.0,2015.0,2025/04/15,2025/04/06,,read,,1,0
The Stand,Stephen        King,0,4.35,Signet Books/Penguin Books USA Inc.,Mass Market Paperback,1141.0,1991.0,,2015/04/03,kobo,read,,1,0
Number Go Up: Inside Crypto's Wild Rise and Staggering Fall,Zeke Faux,3,4.25,Crown Currency,Hardcover,304.0,2023.0,2025/04/08,2025/03/04,,read,,1,0
Fever Beach,Carl Hiaasen,0,3.98,Knopf,Hardcover,384.0,2025.0,,2025/04/08,to-read,to-read,,0,0
Shadow Prey (Lucas Davenport #2),John Sandford,0,3.96,Berkley,Mass Market Paperback,342.0,1991.0,,2018/10/07,,read,,1,0
The Trading Game: A Confession,Gary  Stevenson,4,4.22,Crown Currency,Hardcover,352.0,2024.0,2025/04/01,2025/03/04,,read,,1,0
"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,0,4.32,Flatiron Books,Hardcover,382.0,2025.0,,2025/03/26,to-read,to-read,,0,0
Chip War: The Fight for the World's Most Critical Technology,Chris   Miller,4,4.42,Scribner,Hardcover,464.0,2022.0,2025/03/23,2025/03/04,,read,,1,0
Elon Musk,Walter Isaacson,4,4.35,Simon & Schuster,Hardcover,688.0,2023.0,2025/03/16,2025/02/26,,read,,1,0
The Lacquer Screen,Robert van Gulik,3,4.04,University of Chicago Press,Paperback,183.0,1992.0,,2011/05/28,,read,,1,0
When the Heavens Went on Sale: The Misfits and Geniuses Racing to Put Space Within Reach,Ashlee Vance,0,4.24,Ecco,Hardcover,528.0,2023.0,,2025/03/13,to-read,to-read,,0,0
The Man Who Solved the Market: How Jim Simons Launched the Quant Revolution,Gregory Zuckerman,4,4.04,Portfolio Penguin,Paperback,359.0,2019.0,2025/03/04,2025/01/28,,read,,1,0
"The Fund: Ray Dalio, Bridgewater Associates, and the Unraveling of a Wall Street Legend",Rob Copeland,0,4.01,St. Martin's Press,Hardcover,352.0,2023.0,,2025/03/04,to-read,to-read,,0,0
